site_code,pft_f1,pft_c1,pft_f2,pft_c2,pft_f3,pft_c3,pft_f4,pft_c4,pft_f5,pft_c5
US-Blo,100,1,0,0,0,0,0,0,0,0
US-CHATS,100,7,0,0,0,0,0,0,0,0
US-FPe,100,12,0,0,0,0,0,0,0,0
US-NR1,100,1,0,0,0,0,0,0,0,0
CA-Let,100,12,0,0,0,0,0,0,0,0
CA-Man,100,2,0,0,0,0,0,0,0,0
BR-Sa1,100,4,0,0,0,0,0,0,0,0
BR-Sa3,100,4,0,0,0,0,0,0,0,0
ES-ES1,100,1,0,0,0,0,0,0,0,0
FL-Hyy,100,2,0,0,0,0,0,0,0,0
FL-Kaa,100,14,0,0,0,0,0,0,0,0
IT-Col,100,7,0,0,0,0,0,0,0,0
IT-Cpz,100,5,0,0,0,0,0,0,0,0
DE-Tha,100,1,0,0,0,0,0,0,0,0
US-Brw,100,12,0,0,0,0,0,0,0,0
BE-Vie,100,7,0,0,0,0,0,0,0,0
US-ARM,100,15,0,0,0,0,0,0,0,0
US-Var,100,13,0,0,0,0,0,0,0,0
US-UMB,100,7,0,0,0,0,0,0,0,0
US-Ha1,100,7,0,0,0,0,0,0,0,0
US-Ho1,100,1,0,0,0,0,0,0,0,0
US-MMS,100,7,0,0,0,0,0,0,0,0
US-Bo1,100,15,0,0,0,0,0,0,0,0
CA-Ca1,100,2,0,0,0,0,0,0,0,0
CA-Oas,100,8,0,0,0,0,0,0,0,0
CA-Obs,100,2,0,0,0,0,0,0,0,0
CA-Ojp,100,2,0,0,0,0,0,0,0,0
CA-Qfo,100,2,0,0,0,0,0,0,0,0
US-Me4,100,1,0,0,0,0,0,0,0,0
US-Me2,100,1,0,0,0,0,0,0,0,0
US-MOz,100,7,0,0,0,0,0,0,0,0
US-WCr,100,7,0,0,0,0,0,0,0,0
US-Dk3,100,1,0,0,0,0,0,0,0,0
US-Dk2,100,7,0,0,0,0,0,0,0,0
US-IB1,100,15,0,0,0,0,0,0,0,0
US-Ne3,100,15,0,0,0,0,0,0,0,0
TS-Ts1,100,1,0,0,0,0,0,0,0,0
TS-Ts2,100,1,0,0,0,0,0,0,0,0
TS-Ts3,100,1,0,0,0,0,0,0,0,0
LTER-Sev,100,1,0,0,0,0,0,0,0,0
RF-Bra,-999,-999,0,0,0,0,0,0,0,0
LBA-Cax,100,4,0,0,0,0,0,0,0,0
GUAN,100,6,0,0,0,0,0,0,0,0
WOOD,100,13,0,0,0,0,0,0,0,0
SRER,100,9,0,0,0,0,0,0,0,0
KNOZ,100,14,0,0,0,0,0,0,0,0
ONAQ,100,9,0,0,0,0,0,0,0,0
HARV,100,7,0,0,0,0,0,0,0,0
OAES,100,14,0,0,0,0,0,0,0,0
JORN,100,14,0,0,0,0,0,0,0,0
BLAN,100,7,0,0,0,0,0,0,0,0
SCBI,100,7,0,0,0,0,0,0,0,0
SERC,100,7,0,0,0,0,0,0,0,0
DSNY,100,14,0,0,0,0,0,0,0,0
TREE,100,7,0,0,0,0,0,0,0,0
UNDE,100,7,0,0,0,0,0,0,0,0
UKFS,100,7,0,0,0,0,0,0,0,0
MLBS,100,7,0,0,0,0,0,0,0,0
ORNL,100,7,0,0,0,0,0,0,0,0
DCFS,100,13,0,0,0,0,0,0,0,0
NOGP,100,13,0,0,0,0,0,0,0,0
LENO,100,7,0,0,0,0,0,0,0,0
CLBJ,100,7,0,0,0,0,0,0,0,0
